number,name,r,g,b
720,Dark Orange Spice,229,92,31
721,Medium Orange Spice,242,120,66
722,Light Orange Spice,247,151,111
3340,Medium Apricot,255,131,111
3341,Apricot,252,171,152
402,Very Light Mahogany,247,167,119
3776,Light Mahogany,207,121,57
301,Medium Mahogany,179,95,43
400,Dark Mahogany,143,67,15
300,Very Dark Mahogany,111,47,0
355,Dark Terra Cotta,152,68,54
356,Medium Terra Cotta,197,106,91
3778,Light Terra Cotta,217,137,120
758,Very Light Terra Cotta,235,170,153
3830,Terra Cotta,185,85,68
223,Light Shell Pink,204,132,124
224,Very Light Shell Pink,235,183,175
225,Ultra Very Light Shell Pink,255,222,213
221,Very Dark Shell Pink,136,62,67
3721,Dark Shell Pink,152,68,68
3722,Medium Shell Pink,188,108,100
760,Salmon,245,173,173
761,Light Salmon,255,201,201
3712,Medium Salmon,241,135,135
3328,Dark Salmon,227,109,109
347,Very Dark Salmon,191,45,45
3708,Light Melon,255,203,213
3706,Medium Melon,255,173,188
3705,Dark Melon,255,121,146
600,Very Dark Cranberry,208,57,106
601,Dark Cranberry,209,40,106
602,Medium Cranberry,226,72,116
604,Light Cranberry,255,176,190
3689,Light Mauve,251,191,194
3688,Medium Mauve,231,169,172
3687,Mauve,201,107,112
3803,Dark Mauve,171,51,87
3685,Very Dark Mauve,136,21,49
778,Very Light Antique Mauve,223,179,187
316,Medium Antique Mauve,183,115,127
315,Medium Dark Antique Mauve,163,90,102
3726,Dark Antique Mauve,155,91,102
3727,Light Antique Mauve,219,169,178
902,Very Dark Garnet,130,38,55
3802,Very Dark Antique Mauve,113,65,73
211,Light Lavender,227,203,227
210,Medium Lavender,195,159,195
209,Dark Lavender,163,123,167
208,Very Dark Lavender,131,91,139
3746,Dark Blue Violet,119,107,152
3747,Very Light Blue Violet,211,215,237
27,White Violet,246,232,242
153,Very Light Violet,230,204,217
3836,Light Grape,186,145,170
3835,Medium Grape,148,96,131
3834,Dark Grape,114,55,93
154,Very Dark Grape,87,36,51
